LastName,FirstName,State,ID,Party,Score,Session,Chamber
Akaka,Daniel,HI,7,D,-0.492533091,103,Senate
Baucus,Max,MT,66,D,0.857589804,103,Senate
Bennett,Robert,UT,1280,R,-0.689685996,103,Senate
Biden,Joseph,DE,1284,D,0.121074439,103,Senate
Bingaman,Jeff,NM,1285,D,0.611907692,103,Senate
Bond,Christopher,MO,1286,R,0.424952098,103,Senate
Boxer,Barbara,CA,116,D,-0.983580968,103,Senate
Breaux,John,LA,120,D,0.548257519,103,Senate
Burns,Conrad,MT,1298,R,-0.22540294,103,Senate
Campbell,Ben,CO,168,R,1.246527584,103,Senate
Cochran,Thad,MS,213,R,-0.137417025,103,Senate
Conrad,Kent,ND,1307,D,0.173639435,103,Senate
Craig,Larry,ID,246,R,-0.548982806,103,Senate
Daschle,Thomas,SD,267,D,0.586812095,103,Senate
Dodd,Christopher,CT,302,D,0.109256978,103,Senate
Domenici,Pete,NM,1319,R,0.869274276,103,Senate
Dorgan,Byron,ND,308,D,0.129622071,103,Senate
Feingold,Russell,WI,1331,D,-0.964619995,103,Senate
Feinstein,Dianne,CA,1332,D,0.093159755,103,Senate
Graham,Bob,FL,1342,D,-0.367829914,103,Senate
Grassley,Charles,IA,457,R,0.234163191,103,Senate
Gregg,Judd,NH,466,R,-1.355066503,103,Senate
Harkin,Thomas,IA,501,D,0.197162908,103,Senate
Hatch,Orrin,UT,1351,R,0.435089035,103,Senate
Hollings,Ernest,SC,1361,D,0.601538412,103,Senate
Hutchison,Kay,TX,1368,R,-0.191711451,103,Senate
Inouye,Daniel,HI,1369,D,0.168102975,103,Senate
Jeffords,James,VT,593,R,0.812311166,103,Senate
Kennedy,Edward,MA,1377,D,0.353409736,103,Senate
Kerry,John,MA,1379,D,-0.794466806,103,Senate
Kohl,Herbert,WI,1380,D,-0.092728885,103,Senate
Lautenberg,Frank,NJ,1381,D,-0.797209229,103,Senate
Leahy,Patrick,VT,1383,D,0.213742148,103,Senate
Levin,Carl,MI,1384,D,0.266740608,103,Senate
Lieberman,Joseph,CT,1385,D,0.319292904,103,Senate
Lott,Trent,MS,707,R,-0.803184423,103,Senate
Lugar,Richard,IN,1387,R,-0.199029395,103,Senate
McCain,John,AZ,754,R,-0.028881751,103,Senate
McConnell,Mitch,KY,1395,R,-0.866763266,103,Senate
Mikulski,Barbara,MD,802,D,-0.571285497,103,Senate
Murray,Patty,WA,1409,D,-0.210753984,103,Senate
Nickles,Don,OK,1412,R,-1.019387784,103,Senate
Reid,Harry,NV,952,D,1.220756957,103,Senate
Rockefeller,John,WV,1424,D,-0.05193874,103,Senate
Sarbanes,Paul,MD,1017,D,-0.463178488,103,Senate
Shelby,Richard,AL,1049,R,0.92864086,103,Senate
Specter,Arlen,PA,1437,R,-0.108858945,103,Senate
Stevens,Ted,AK,1440,R,-0.533612239,103,Senate
Warner,John,VA,1452,R,0.656486167,103,Senate
Murkowski,Frank,AK,1408,R,-0.632224186,103,Senate
Helms,Jesse,NC,1359,R,-1.393926748,103,Senate
Smith,Bob,NH,1082,R,-0.785743842,103,Senate
Thurmond,J.,SC,1448,R,-0.610405208,103,Senate
Gramm,Phil,TX,453,R,-2.013314571,103,Senate
Bryan,Richard,NV,1293,D,0.557839902,103,Senate
Coverdell,Paul,GA,1310,R,-1.696205294,103,Senate
Gorton,T.,WA,1341,R,0.092110759,103,Senate
Kerrey,J.,NE,1378,D,0.048013993,103,Senate
Mack,Connie,FL,721,R,-0.595873153,103,Senate
Moynihan,Daniel,NY,1407,D,-0.109783005,103,Senate
Robb,Charles,VA,1423,D,0.404564475,103,Senate
Roth,William,DE,1425,R,-0.248930792,103,Senate
Wellstone,Paul,MN,1454,D,-0.626669782,103,Senate
Boren,David,OK,1287,D,1.376163077,103,Senate
Bradley,William,NJ,1289,D,-0.389266974,103,Senate
Brown,George,CO,135,R,-1.115523243,103,Senate
Bumpers,Dale,AR,1295,D,0.661676126,103,Senate
Chafee,John,RI,1303,R,0.907547451,103,Senate
Coats,Daniel,IN,209,R,-0.832593474,103,Senate
Cohen,William,ME,215,R,0.491593021,103,Senate
D'Amato,Alfonse,NY,1313,R,0.270436538,103,Senate
Danforth,John,MO,1314,R,0.258470582,103,Senate
DeConcini,Dennis,AZ,1315,D,0.324940852,103,Senate
Durenberger,David,MN,1321,R,0.886393846,103,Senate
Exon,J.,NE,1328,D,0.432209704,103,Senate
Ford,Wendell,KY,1334,D,0.038981453,103,Senate
Glenn,John,OH,1339,D,-0.050759587,103,Senate
Hatfield,Mark,OR,1352,R,1.207767866,103,Senate
Heflin,Howell,AL,1358,D,1.061862833,103,Senate
Johnston,John,LA,1373,D,-0.253809922,103,Senate
Kassebaum,Nancy,KS,1375,R,0.230786197,103,Senate
Kempthorne,Dirk,ID,1376,R,-0.516155444,103,Senate
Krueger,Robert,TX,653,D,-1.081780939,103,Senate
Metzenbaum,Howard,OH,1400,D,-0.1291599,103,Senate
Moseley Braun,Carol,IL,1405,D,0.305514701,103,Senate
Nunn,Samuel,GA,1413,D,1.606895381,103,Senate
Packwood,Robert,OR,1414,R,0.458402264,103,Senate
Pell,Claiborne,RI,1417,D,-0.674564921,103,Senate
Pressler,Larry,SD,927,R,-0.525805814,103,Senate
Pryor,David,AR,1420,D,0.367455724,103,Senate
Riegle,Donald,MI,961,D,-0.21624465,103,Senate
Sasser,James,TN,1428,D,-0.427961976,103,Senate
Simon,Paul,IL,1059,D,-0.093078279,103,Senate
Simpson,Alan,WY,1435,R,-0.575220478,103,Senate
Wallop,Malcolm,WY,1451,R,-1.230238792,103,Senate
Wofford,Harris,PA,1457,D,-0.753810871,103,Senate
Akaka,Daniel,HI,7,D,-0.357514658,104,Senate
Baucus,Max,MT,66,D,0.687260119,104,Senate
Bennett,Robert,UT,1280,R,-0.789002257,104,Senate
